"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"14","GP","M",15,"U","GT3","T",4,3,"teacher","other","course","yes","yes","mother",2,2,0,"no","yes","yes","no","yes","no",5,4,3,1,2,3,1,11,11,12
"15","GP","M",15,"U","GT3","A",2,2,"other","other","home","yes","yes","other",1,3,0,"no","yes","no","no","yes","yes",4,5,2,1,1,3,0,14,15,16
"16","GP","F",16,"U","GT3","T",4,4,"health","other","home","yes","yes","mother",1,1,0,"no","yes","no","no","yes","no",4,4,4,1,2,2,5,16,16,16
"17","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","yes","yes","mother",1,3,0,"no","yes","yes","yes","yes","no",3,2,3,1,2,2,8,13,14,14
"18","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","yes","no","mother",3,2,0,"yes","yes","no","yes","yes","no",5,3,2,1,1,4,3,10,12,12
"19","GP","M",17,"U","GT3","T",3,2,"services","services","course","yes","yes","mother",1,1,3,"no","yes","no","yes","yes","no",5,5,5,2,4,5,9,7,6,6
"20","GP","M",16,"U","LE3","T",4,3,"health","other","home","yes","yes","father",1,1,0,"no","no","yes","yes","yes","no",3,1,3,1,3,5,5,10,11,11
"21","GP","M",15,"U","GT3","T",4,3,"teacher","other","reputation","yes","yes","mother",1,2,0,"no","no","no","no","yes","no",4,4,1,1,1,1,0,12,14,14
"22","GP","M",15,"U","GT3","T",4,4,"health","health","other","yes","yes","father",1,1,0,"no","yes","yes","no","yes","no",5,4,2,1,1,5,0,12,14,14
"23","GP","M",16,"U","LE3","T",4,2,"teacher","other","course","yes","yes","mother",1,2,0,"no","no","no","yes","yes","no",4,5,1,1,3,5,1,14,14,15
"24","GP","M",16,"U","LE3","T",2,2,"other","other","reputation","yes","yes","mother",2,2,0,"no","yes","no","yes","yes","no",5,4,4,2,4,5,1,12,12,11
"25","GP","F",15,"R","GT3","T",2,4,"services","health","course","yes","yes","mother",1,3,0,"yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,10,10,9
"26","GP","F",16,"U","GT3","T",2,2,"services","services","home","no","yes","mother",1,1,1,"no","yes","yes","no","yes","no",1,2,2,1,3,5,10,8,10,10
"27","GP","M",15,"U","GT3","T",2,2,"other","other","home","yes","yes","mother",1,1,0,"no","yes","yes","no","yes","no",4,2,2,1,2,5,5,12,12,12
"28","GP","M",15,"U","GT3","T",4,2,"health","services","other","yes","yes","mother",1,1,0,"no","no","yes","no","yes","no",2,2,4,2,4,1,2,13,14,13
"29","GP","M",16,"U","LE3","A",3,4,"services","other","home","yes","yes","mother",1,2,0,"yes","yes","no","yes","yes","no",5,3,3,1,1,5,3,12,12,12
"30","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","home","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","yes",4,4,5,5,5,5,10,11,12,12
"31","GP","M",15,"U","GT3","T",4,4,"health","services","home","no","yes","mother",1,2,0,"no","yes","yes","no","yes","no",5,4,2,3,4,5,0,10,11,12
"32","GP","M",15,"U","GT3","T",4,4,"services","services","reputation","yes","yes","mother",2,2,0,"no","yes","no","yes","yes","no",4,3,1,1,1,5,1,16,16,16
"33","GP","M",15,"R","GT3","T",4,3,"teacher","at_home","course","yes","yes","mother",1,2,0,"no","yes","no","yes","yes","yes",4,5,2,1,1,5,0,15,15,16
"34","GP","M",15,"U","LE3","T",3,3,"other","other","course","no","yes","mother",1,2,0,"no","no","no","yes","yes","no",5,3,2,1,1,2,0,10,11,12
"35","GP","M",16,"U","GT3","T",3,2,"other","other","home","no","yes","mother",1,1,0,"no","yes","yes","no","yes","no",5,4,3,1,1,5,2,12,13,14
"36","GP","F",15,"U","GT3","T",2,3,"other","other","other","yes","no","father",2,1,0,"no","yes","no","yes","yes","no",3,5,1,1,1,5,2,10,9,8
"37","GP","M",15,"U","LE3","T",4,3,"teacher","services","home","yes","yes","mother",1,3,0,"no","yes","no","yes","yes","no",5,4,3,1,1,4,1,14,15,16
"38","GP","M",16,"R","GT3","A",4,4,"other","teacher","reputation","yes","yes","mother",2,3,0,"no","yes","no","yes","yes","yes",2,4,3,1,1,5,6,14,14,14
"39","GP","F",15,"R","GT3","T",3,4,"services","health","course","yes","yes","mother",1,3,0,"yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,12,12,12
"40","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","yes","no","mother",1,1,0,"yes","yes","yes","yes","yes","no",4,3,1,1,1,2,8,14,13,12
"41","GP","F",16,"U","LE3","T",2,2,"other","other","home","no","yes","mother",2,2,0,"no","yes","no","yes","yes","yes",3,3,3,1,2,3,20,9,10,10
"42","GP","M",15,"U","LE3","T",4,4,"teacher","other","home","no","yes","other",1,1,0,"no","yes","no","no","yes","yes",5,4,3,2,4,5,8,11,12,12
"43","GP","M",15,"U","GT3","T",4,4,"services","teacher","course","yes","yes","father",1,2,0,"no","yes","no","yes","yes","no",4,3,3,1,1,5,1,16,16,16
"44","GP","M",15,"U","GT3","T",2,2,"services","services","course","yes","yes","father",1,1,0,"yes","yes","no","no","yes","no",5,4,1,1,1,1,0,8,9,10
"45","GP","F",16,"U","LE3","T",2,2,"other","at_home","course","yes","yes","father",2,2,1,"yes","no","no","yes","yes","no",4,3,3,2,2,5,14,10,10,10
"46","GP","F",15,"U","LE3","A",4,3,"other","other","course","yes","yes","mother",1,2,0,"yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,6,9,10,8
"47","GP","F",16,"U","LE3","A",3,3,"other","services","home","yes","yes","mother",1,2,0,"no","yes","no","no","yes","no",2,3,5,1,4,3,9,12,12,12
"48","GP","M",16,"U","GT3","T",4,3,"health","services","reputation","yes","yes","mother",1,4,0,"no","no","no","yes","yes","no",4,2,2,1,1,2,3,18,18,18
"49","GP","M",15,"U","GT3","T",4,2,"teacher","other","home","yes","no","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,3,2,2,5,3,13,14,14
"50","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","no","yes","father",1,2,0,"yes","yes","no","yes","yes","no",4,4,4,1,1,3,2,10,10,10
"51","GP","F",16,"U","LE3","T",2,2,"services","services","course","yes","yes","mother",3,2,0,"no","yes","yes","no","yes","no",4,3,3,2,3,4,1,13,13,13
"52","GP","F",15,"U","LE3","T",4,2,"health","other","other","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,3,1,1,5,1,14,14,14
"53","GP","M",15,"U","LE3","A",4,2,"health","health","other","yes","no","father",2,1,0,"no","no","no","no","yes","no",5,5,5,3,4,5,5,10,10,10
"54","GP","F",15,"U","GT3","T",4,4,"services","services","course","yes","yes","mother",1,1,0,"yes","yes","yes","no","yes","no",3,3,4,2,3,5,0,10,11,12
"55","GP","F",15,"U","LE3","A",3,3,"other","other","other","yes","yes","mother",1,1,0,"no","no","yes","no","yes","no",5,3,4,4,4,1,3,12,12,13
"56","GP","F",16,"U","GT3","A",2,1,"other","other","other","yes","yes","mother",1,2,0,"no","no","yes","yes","yes","yes",5,3,4,1,1,2,5,10,11,11
"57","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","no",4,3,2,1,1,1,0,14,14,15
"58","GP","M",15,"U","GT3","T",4,4,"teacher","health","reputation","yes","no","mother",1,2,0,"no","yes","no","yes","yes","no",3,2,2,1,1,5,6,14,15,16
"59","GP","M",15,"U","LE3","T",1,2,"other","at_home","home","yes","yes","father",1,2,0,"yes","yes","no","yes","yes","no",4,3,2,1,1,5,1,12,12,12
"60","GP","F",16,"U","GT3","T",4,2,"services","other","course","yes","yes","mother",1,2,0,"no","yes","no","no","yes","no",4,2,3,1,1,5,2,16,16,16
"61","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","yes","no","mother",1,2,0,"no","yes","no","yes","yes","no",2,4,4,2,3,4,3,14,14,14
"62","GP","F",16,"U","GT3","T",1,1,"services","services","course","no","yes","father",4,1,0,"yes","yes","no","yes","yes","yes",5,5,5,5,5,5,3,10,9,14
"63","GP","F",16,"U","LE3","T",1,2,"other","services","reputation","yes","yes","father",1,2,0,"yes","no","no","yes","yes","no",4,4,3,1,1,1,2,10,12,10
"64","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","yes","yes","mother",1,3,0,"yes","yes","yes","yes","yes","no",3,4,4,2,4,4,1,12,11,11
"65","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","yes","yes","father",1,2,0,"yes","no","no","yes","yes","yes",4,4,4,2,4,2,0,12,11,11
"66","GP","F",16,"U","LE3","T",4,3,"teacher","services","course","yes","yes","mother",3,2,0,"no","yes","no","yes","yes","no",5,4,3,1,2,1,2,16,15,16
"67","GP","M",15,"U","GT3","A",4,4,"other","services","reputation","no","yes","mother",1,4,0,"no","yes","no","yes","yes","yes",1,3,3,5,5,3,2,12,12,12
"68","GP","F",16,"U","GT3","T",3,1,"services","other","course","yes","yes","mother",1,4,0,"yes","yes","yes","no","yes","no",4,3,3,1,2,5,2,8,8,8
"69","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","yes","yes","mother",2,2,0,"yes","yes","yes","no","yes","no",4,1,3,1,3,4,1,10,10,10
"70","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","no","yes","father",2,4,0,"no","yes","no","no","yes","no",4,4,2,2,3,3,9,16,16,16
"71","GP","M",16,"U","GT3","T",3,1,"other","other","reputation","yes","yes","father",2,4,0,"no","yes","yes","no","yes","no",4,3,2,1,1,5,1,13,13,13
"72","GP","M",15,"U","GT3","T",4,2,"other","other","course","yes","yes","mother",1,4,0,"no","no","no","no","yes","no",3,3,3,1,1,3,0,10,10,10
"73","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","no","yes","mother",1,2,1,"yes","yes","no","no","yes","yes",3,3,4,2,4,5,2,10,8,8
"74","GP","M",16,"U","GT3","T",3,1,"other","other","reputation","yes","no","mother",1,1,0,"no","no","no","yes","yes","no",5,3,2,2,2,5,1,12,12,14
"75","GP","F",16,"U","GT3","T",3,3,"other","services","home","yes","yes","mother",1,2,0,"yes","yes","yes","yes","yes","no",4,3,3,2,4,5,29,11,12,11
"76","GP","M",15,"U","GT3","T",4,3,"teacher","other","home","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","no",4,3,3,2,3,5,3,10,10,10
"77","GP","M",15,"U","GT3","T",4,0,"teacher","other","course","yes","yes","mother",2,4,0,"no","no","no","yes","yes","no",3,4,3,1,1,1,4,12,11,10
"78","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","yes","yes","mother",1,4,0,"no","no","yes","no","yes","yes",5,2,3,1,3,3,0,12,12,12
"79","GP","M",17,"U","GT3","T",2,1,"other","other","home","yes","yes","mother",2,1,3,"yes","yes","no","yes","no","no",4,5,1,1,1,3,1,8,8,10
"80","GP","M",17,"U","GT3","T",2,1,"other","other","home","yes","yes","mother",2,1,2,"yes","yes","no","yes","no","no",4,4,3,1,2,4,12,8,8,8
"81","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","yes","yes","mother",1,2,0,"no","yes","no","no","yes","no",2,4,3,1,2,3,13,8,8,8
"82","GP","M",15,"U","GT3","T",2,3,"other","services","course","no","yes","father",1,1,0,"yes","yes","yes","yes","yes","yes",3,2,2,1,3,3,1,10,12,12
"83","GP","M",15,"U","GT3","T",2,3,"other","other","home","no","yes","mother",1,3,0,"yes","no","yes","no","yes","no",5,3,2,1,2,5,3,10,10,10
"84","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",4,4,4,1,1,5,7,10,8,8
"85","GP","M",15,"U","LE3","T",2,2,"services","services","home","yes","yes","mother",2,2,0,"no","no","yes","yes","yes","no",5,3,3,1,3,4,3,14,14,14
"86","GP","F",15,"U","GT3","T",1,1,"other","other","home","no","yes","father",1,2,0,"no","yes","no","yes","yes","no",4,3,2,2,3,4,2,11,11,11
"87","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","yes","yes","father",2,2,1,"no","no","yes","no","yes","yes",4,4,4,2,3,5,5,10,10,10
"88","GP","F",16,"U","LE3","T",2,2,"at_home","other","course","yes","no","mother",1,2,0,"no","yes","no","no","yes","no",4,3,4,1,2,2,5,10,9,8
"89","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","yes","yes","mother",1,3,0,"no","yes","no","yes","yes","no",5,3,3,1,3,1,4,14,14,14
"90","GP","M",16,"U","GT3","T",2,2,"services","other","reputation","no","yes","father",2,2,0,"no","no","yes","yes","yes","no",4,4,2,1,1,3,9,12,10,10
"91","GP","M",16,"U","LE3","A",4,4,"teacher","health","reputation","yes","no","mother",1,2,0,"no","yes","no","no","yes","no",4,1,3,3,5,5,12,8,8,8
"92","GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","yes","mother",1,3,0,"no","yes","yes","no","yes","yes",4,3,3,1,3,4,1,8,9,10
"93","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","yes","yes","mother",1,1,0,"no","no","yes","yes","yes","no",4,5,5,1,3,1,5,15,15,16
"94","GP","F",16,"U","LE3","T",3,1,"other","other","home","yes","no","father",1,2,0,"yes","yes","no","no","yes","no",3,3,3,2,3,2,2,10,10,9
"95","GP","F",16,"U","GT3","T",4,2,"teacher","services","home","yes","yes","mother",2,2,0,"no","yes","yes","yes","yes","no",5,3,3,1,1,1,1,12,12,12
"96","GP","M",15,"U","LE3","T",2,2,"services","health","reputation","yes","yes","mother",1,4,0,"no","yes","no","yes","yes","no",4,3,4,1,1,4,4,11,12,13
"97","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","yes","yes","mother",2,4,0,"yes","yes","yes","yes","yes","no",3,1,2,1,1,1,3,10,12,12
"98","GP","M",16,"R","GT3","T",4,3,"services","other","reputation","no","yes","mother",2,1,0,"yes","yes","no","yes","yes","no",3,3,3,1,1,4,4,10,13,13
"99","GP","F",16,"U","GT3","T",2,1,"other","other","course","yes","no","mother",1,2,0,"no","yes","yes","no","yes","yes",4,3,5,1,1,5,1,10,10,11
"100","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","no","yes","mother",1,1,0,"no","no","no","yes","yes","no",5,3,4,1,2,1,5,12,14,14
"101","GP","F",16,"U","GT3","T",4,3,"other","at_home","course","yes","yes","mother",1,3,0,"yes","yes","yes","no","yes","no",5,3,5,1,1,3,1,10,11,10
"102","GP","M",16,"U","GT3","T",4,4,"services","services","other","yes","yes","mother",1,1,0,"yes","yes","yes","yes","yes","no",4,5,5,5,5,4,13,8,8,6
"103","GP","M",16,"U","GT3","T",4,4,"services","teacher","other","yes","yes","father",1,3,0,"no","yes","no","yes","yes","yes",4,4,3,1,1,4,0,16,16,16
"104","GP","M",15,"U","GT3","T",4,4,"services","other","course","no","yes","mother",1,1,0,"no","yes","no","yes","yes","no",5,3,3,1,1,5,3,11,13,13
"105","GP","F",15,"U","GT3","T",3,2,"services","other","home","yes","yes","mother",2,2,0,"yes","yes","yes","no","yes","no",4,3,5,1,1,2,21,9,8,8
"106","GP","M",15,"U","GT3","A",3,4,"services","other","course","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","no",5,4,4,1,1,1,0,16,17,17
"107","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","yes","no","father",1,4,0,"yes","no","no","no","yes","no",4,3,3,1,1,4,10,10,10,10
"108","GP","F",15,"U","GT3","T",2,2,"other","other","course","yes","yes","mother",1,4,0,"yes","yes","yes","no","yes","no",5,1,2,1,1,3,6,8,9,9
"109","GP","M",16,"U","GT3","T",3,3,"services","other","home","yes","yes","father",1,3,0,"no","yes","no","yes","yes","no",5,3,3,1,1,5,3,14,16,16
"110","GP","M",16,"U","GT3","T",3,3,"services","other","home","yes","yes","father",1,2,0,"no","yes","no","yes","yes","no",4,2,3,1,2,4,1,14,15,16
"111","GP","M",15,"R","GT3","T",4,4,"other","other","home","yes","yes","father",4,4,0,"no","yes","yes","yes","yes","yes",1,3,5,3,5,1,7,11,12,12
"112","GP","F",16,"U","LE3","T",4,4,"health","health","other","yes","yes","mother",1,3,0,"no","yes","yes","yes","yes","yes",5,4,5,1,1,4,3,14,15,15
"113","GP","M",15,"U","LE3","A",4,4,"teacher","teacher","course","yes","yes","mother",1,1,0,"no","no","no","yes","yes","no",5,5,3,1,1,4,5,16,16,16
"114","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","yes","yes","father",1,3,0,"yes","yes","no","yes","yes","no",4,1,2,1,1,2,2,9,10,10
"115","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","yes","yes","mother",1,2,1,"yes","no","no","yes","yes","no",3,1,2,1,1,5,9,9,12,12
"116","GP","M",15,"U","LE3","T",4,2,"teacher","other","course","yes","yes","mother",1,1,0,"no","no","no","no","yes","no",3,5,2,1,1,3,10,18,18,18
"117","GP","M",15,"R","GT3","T",2,1,"health","services","reputation","yes","yes","mother",1,2,0,"no","no","no","yes","yes","yes",5,4,2,1,1,5,6,10,9,10
"118","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","father",1,2,0,"no","yes","no","yes","yes","no",5,4,4,1,2,5,4,16,14,15
"119","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","father",1,2,0,"no","yes","no","yes","yes","no",4,4,3,2,2,5,9,12,12,12
"120","GP","M",15,"U","GT3","T",4,4,"other","teacher","reputation","yes","no","father",2,2,0,"no","yes","no","yes","yes","no",4,4,3,1,1,2,3,14,14,15
"121","GP","M",16,"U","GT3","T",3,3,"other","services","home","yes","yes","father",2,1,0,"no","no","no","yes","yes","no",5,4,2,1,1,5,3,14,14,14
"122","GP","M",17,"R","GT3","T",1,3,"other","other","course","yes","yes","father",3,2,1,"no","yes","no","yes","yes","no",5,2,4,1,4,5,17,10,9,10
"123","GP","M",15,"U","GT3","T",3,4,"other","other","reputation","yes","yes","father",1,1,0,"no","no","no","no","yes","no",3,4,3,1,2,4,4,14,13,14
"124","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","no","yes","mother",1,2,0,"no","no","no","no","yes","no",3,2,3,1,2,1,1,15,14,14
"125","GP","M",15,"U","GT3","T",2,2,"services","services","home","yes","yes","father",1,4,0,"no","yes","yes","yes","yes","no",5,5,4,1,2,5,6,15,14,14
"126","GP","F",16,"U","LE3","T",2,4,"other","health","course","yes","yes","father",2,2,0,"no","yes","yes","yes","yes","yes",4,2,2,1,2,5,2,14,12,13
"127","GP","M",16,"U","GT3","T",4,4,"health","other","course","yes","yes","mother",1,1,0,"no","yes","no","yes","yes","no",3,4,4,1,4,5,11,13,12,13
"128","GP","F",16,"U","GT3","T",2,2,"other","other","home","yes","yes","mother",1,2,0,"no","no","yes","no","yes","yes",5,4,4,1,1,5,0,10,9,10
"129","GP","M",15,"U","GT3","T",3,4,"services","services","home","yes","yes","father",1,1,0,"yes","no","no","no","yes","no",5,5,5,3,2,5,1,11,11,10
"130","GP","F",15,"U","LE3","A",3,4,"other","other","home","yes","yes","mother",1,2,0,"yes","no","no","yes","yes","yes",5,3,2,1,1,1,0,8,10,11
"131","GP","F",19,"U","GT3","T",0,1,"at_home","other","course","no","no","other",1,2,2,"no","yes","no","no","no","no",3,4,2,1,1,5,1,8,9,10
"132","GP","M",16,"R","GT3","T",4,4,"teacher","teacher","course","yes","yes","mother",1,1,0,"no","no","yes","yes","yes","no",3,5,5,2,5,4,8,16,16,16
"133","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","yes","yes","father",2,3,1,"no","yes","no","no","yes","yes",4,2,2,2,2,5,0,11,6,6
"134","GP","F",15,"U","GT3","T",1,1,"at_home","other","course","no","yes","mother",3,1,0,"no","yes","no","yes","yes","yes",4,3,3,1,2,4,3,10,6,6
"135","GP","F",17,"U","LE3","T",2,2,"other","other","course","yes","yes","father",1,1,0,"no","yes","no","no","yes","yes",3,4,4,1,3,5,7,12,12,12
"136","GP","F",16,"U","GT3","A",3,4,"services","other","course","yes","yes","father",1,1,0,"no","no","no","no","yes","no",3,2,1,1,4,5,14,14,12,12
"137","GP","M",15,"R","GT3","T",3,4,"at_home","teacher","course","yes","no","mother",4,2,0,"no","yes","no","no","yes","yes",5,3,3,1,1,5,1,10,6,6
"138","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","yes","yes","mother",1,3,0,"no","yes","no","yes","yes","yes",4,3,3,1,1,5,2,12,7,8
"139","GP","M",17,"R","GT3","T",3,4,"at_home","other","course","yes","no","mother",3,2,0,"no","no","no","no","yes","no",5,4,5,2,4,5,1,10,4,5
"140","GP","F",16,"U","GT3","A",3,3,"other","other","course","no","yes","other",2,1,1,"no","yes","no","yes","yes","yes",4,3,2,1,1,5,2,6,4,5
"141","GP","M",16,"U","LE3","T",1,1,"services","other","course","yes","no","mother",1,2,2,"no","no","no","no","yes","yes",4,4,4,1,3,5,0,12,11,11
"142","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","mother",2,1,0,"no","no","no","yes","yes","no",4,3,2,1,1,5,3,14,15,14
"143","GP","M",15,"U","GT3","T",4,3,"teacher","services","course","yes","yes","father",2,4,0,"yes","yes","no","no","yes","no",2,2,2,1,1,3,3,8,10,6
"144","GP","M",16,"U","LE3","T",2,2,"services","services","reputation","yes","yes","father",2,1,1,"no","yes","no","yes","yes","no",2,3,3,2,2,2,6,10,10,10
"145","GP","F",15,"U","GT3","T",4,4,"teacher","services","course","yes","yes","mother",1,3,0,"no","yes","yes","yes","yes","no",4,2,2,1,1,5,2,11,12,12
"146","GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","yes","yes","mother",1,1,0,"no","no","no","no","yes","no",3,4,4,3,3,1,3,12,12,12
"147","GP","M",17,"U","GT3","T",2,1,"other","other","home","yes","yes","mother",2,1,3,"no","yes","no","no","yes","no",4,4,3,1,2,4,0,7,4,5
"148","GP","M",17,"U","GT3","T",2,1,"other","other","home","yes","yes","mother",1,1,2,"no","yes","no","no","yes","no",5,4,5,1,2,5,11,7,4,3
"149","GP","F",15,"U","GT3","T",1,1,"other","services","course","yes","yes","father",1,2,0,"no","yes","yes","no","yes","no",4,4,2,1,2,5,0,10,12,12
"150","GP","F",15,"U","GT3","T",3,2,"health","services","home","yes","yes","father",1,2,2,"no","yes","no","no","yes","no",3,3,2,1,1,3,1,8,9,6
"151","GP","F",15,"U","GT3","T",1,2,"at_home","other","course","no","yes","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,2,1,1,5,4,12,12,12
"152","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","mother",1,2,0,"no","yes","no","no","no","yes",4,4,3,2,2,5,3,12,10,7
"153","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","mother",1,1,0,"no","yes","no","no","no","yes",3,3,2,2,1,5,8,8,8,4
"154","GP","M",15,"U","LE3","A",2,1,"services","other","course","yes","yes","mother",4,1,2,"no","no","no","no","yes","no",4,5,5,2,5,5,0,10,10,10
"155","GP","M",18,"U","LE3","T",1,1,"other","other","course","yes","yes","mother",1,1,2,"no","no","no","no","no","yes",2,3,5,2,5,4,0,8,7,0
"156","GP","M",16,"U","LE3","T",2,1,"at_home","other","course","yes","no","mother",1,1,1,"no","no","no","yes","yes","yes",4,4,4,3,5,5,6,10,12,12
"157","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","yes","yes","other",2,3,1,"no","yes","yes","yes","yes","yes",4,2,1,2,3,3,5,12,12,12
"158","GP","M",19,"U","GT3","T",3,2,"services","at_home","home","yes","yes","mother",1,1,2,"no","yes","no","no","no","yes",4,5,4,1,1,4,3,8,4,6
"159","GP","F",17,"U","GT3","T",4,4,"other","teacher","course","yes","no","mother",1,1,0,"yes","yes","no","no","yes","yes",4,2,1,1,1,4,0,12,12,12
"160","GP","M",15,"R","GT3","T",2,3,"at_home","services","course","yes","no","mother",1,2,0,"yes","no","yes","yes","yes","no",4,4,4,1,1,1,1,9,8,8
"161","GP","M",17,"R","LE3","T",1,2,"other","other","reputation","yes","no","mother",1,1,2,"no","no","no","no","yes","no",2,2,2,3,3,5,11,12,10,12
"162","GP","F",18,"R","GT3","T",1,1,"at_home","other","course","no","no","mother",3,1,3,"no","yes","no","yes","yes","no",5,2,5,1,5,4,6,10,9,10
"163","GP","M",16,"R","GT3","T",2,2,"at_home","other","course","no","no","mother",3,1,0,"no","no","no","no","yes","no",4,2,2,1,2,3,3,14,12,13
"164","GP","M",16,"U","GT3","T",3,3,"other","services","course","yes","yes","father",1,2,1,"no","yes","yes","no","yes","yes",4,5,5,4,4,5,2,10,11,6
"165","GP","M",17,"R","LE3","T",2,1,"at_home","other","course","yes","yes","mother",2,1,2,"no","no","no","yes","no","yes",3,3,2,2,2,5,4,8,7,4
"166","GP","M",17,"R","LE3","T",1,1,"other","services","course","yes","no","mother",4,2,2,"no","no","no","yes","no","yes",5,3,5,1,5,5,0,6,8,8
"167","GP","M",16,"U","GT3","T",2,2,"other","other","course","yes","yes","father",1,2,0,"no","no","no","no","no","no",4,3,5,2,4,4,2,10,10,10
"168","GP","F",16,"U","GT3","T",4,2,"health","services","home","yes","yes","father",1,2,0,"no","no","yes","no","yes","yes",4,2,3,1,1,3,0,16,16,17
